ax,ay,az,gx,gy,gz,target,target_name
0.08,0.98,0.01,-0.37,0.61,-0.73,0.0,left-right
0.08,0.98,0.01,0.06,0.49,-0.73,0.0,left-right
0.08,0.98,0.01,1.1,0.55,-0.85,0.0,left-right
0.08,0.98,0.02,1.4,0.31,-0.85,0.0,left-right
0.08,0.97,0.01,1.28,0.43,-0.92,0.0,left-right
0.08,0.97,0.01,0.37,0.55,-0.73,0.0,left-right
0.08,0.99,0.02,-0.98,0.61,-0.55,0.0,left-right
0.08,0.97,0.01,-3.05,1.1,-0.43,0.0,left-right
0.08,0.98,0.01,-3.72,1.4,-0.49,0.0,left-right
0.08,0.99,0.02,-3.36,1.1,-0.12,0.0,left-right
0.08,0.98,0.02,-3.3,1.16,-0.43,0.0,left-right
0.08,0.98,0.02,-2.5,1.04,-0.55,0.0,left-right
0.08,0.99,0.02,-1.34,0.61,-0.61,0.0,left-right
0.08,0.98,0.01,-0.92,0.73,-0.67,0.0,left-right
0.08,0.98,0.01,-0.79,0.55,-0.79,0.0,left-right
0.08,0.98,0.02,-0.73,0.49,-0.49,0.0,left-right
0.08,0.97,0.01,-1.77,1.04,-0.61,0.0,left-right
0.08,0.98,0.01,-2.5,1.04,-0.43,0.0,left-right
0.08,0.98,0.01,-2.56,0.98,-0.31,0.0,left-right
0.08,0.98,0.01,-3.11,1.28,-0.43,0.0,left-right
0.08,0.99,0.01,-2.87,0.98,-0.49,0.0,left-right
0.08,0.98,0.01,-1.95,0.85,-0.55,0.0,left-right
0.08,0.98,0.01,-0.61,0.73,-0.79,0.0,left-right
0.08,0.99,0.02,1.28,0.24,-0.73,0.0,left-right
0.08,0.97,0.01,2.38,0.24,-1.16,0.0,left-right
0.08,0.98,0.02,2.08,0.24,-1.1,0.0,left-right
0.08,0.98,0.02,1.65,0.24,-0.98,0.0,left-right
0.08,0.97,0.02,0.79,0.55,-0.98,0.0,left-right
0.08,0.97,0.02,-0.67,0.67,-0.67,0.0,left-right
0.08,0.98,0.02,-2.01,0.85,-0.43,0.0,left-right
0.08,0.98,0.01,-3.48,1.46,-0.37,0.0,left-right
0.08,0.98,0.02,-4.76,1.4,-0.24,0.0,left-right
0.08,0.98,0.02,-5.19,1.53,-0.12,0.0,left-right
0.08,0.98,0.01,-4.58,1.46,-0.18,0.0,left-right
0.08,0.98,0.02,-3.6,1.16,-0.31,0.0,left-right
0.08,0.98,0.01,-2.44,1.1,-0.49,0.0,left-right
0.08,0.98,0.01,-1.46,0.98,-0.61,0.0,left-right
0.08,0.98,0.01,-0.98,0.67,-0.67,0.0,left-right
0.08,0.98,0.01,-0.55,0.79,-0.67,0.0,left-right
0.08,0.98,0.01,-0.43,0.61,-0.67,0.0,left-right
0.08,0.98,0.01,-0.67,0.61,-0.67,0.0,left-right
0.08,0.98,0.01,-1.04,0.73,-0.55,0.0,left-right
0.08,0.98,0.01,-1.16,0.73,-0.49,0.0,left-right
0.08,0.97,0.01,-0.98,0.79,-0.67,0.0,left-right
0.08,0.99,0.02,-0.67,0.67,-0.55,0.0,left-right
0.08,0.98,0.02,-0.18,0.55,-0.67,0.0,left-right
0.08,0.98,0.02,0.0,0.67,-0.85,0.0,left-right
0.08,0.98,0.02,0.55,0.43,-0.79,0.0,left-right
0.08,0.98,0.02,0.73,0.43,-0.85,0.0,left-right
0.08,0.98,0.02,0.37,0.55,-0.85,0.0,left-right
0.08,0.98,0.02,-0.31,0.61,-0.67,0.0,left-right
0.08,0.98,0.02,-1.04,0.79,-0.67,0.0,left-right
0.08,0.98,0.02,-2.32,0.85,-0.55,0.0,left-right
0.08,0.98,0.02,-2.99,0.92,-0.37,0.0,left-right
0.08,0.98,0.01,-3.54,1.28,-0.37,0.0,left-right
0.08,0.98,0.01,-4.27,1.34,-0.31,0.0,left-right
0.08,0.98,0.01,-4.33,1.28,-0.31,0.0,left-right
0.08,0.98,0.01,-3.66,1.16,-0.37,0.0,left-right
0.08,0.98,0.01,-2.81,1.1,-0.43,0.0,left-right
0.08,0.98,0.01,-1.89,0.92,-0.55,0.0,left-right
0.08,0.98,0.01,-0.92,0.79,-0.61,0.0,left-right
0.08,0.98,0.01,-0.31,0.73,-0.79,0.0,left-right
0.08,0.98,0.01,-0.43,0.67,-0.79,0.0,left-right
0.08,0.98,0.01,-0.24,0.61,-0.73,0.0,left-right
0.08,0.98,0.01,-0.12,0.61,-0.73,0.0,left-right
0.08,0.98,0.01,-0.12,0.67,-0.67,0.0,left-right
0.08,0.98,0.01,-0.49,0.61,-0.67,0.0,left-right
0.08,0.98,0.01,-0.73,0.61,-0.73,0.0,left-right
0.08,0.98,0.01,-1.04,0.67,-0.73,0.0,left-right
0.08,0.98,0.02,-0.85,0.61,-0.67,0.0,left-right
0.08,0.98,0.01,-0.67,0.67,-0.67,0.0,left-right
0.08,0.98,0.01,-1.4,0.67,-0.67,0.0,left-right
0.08,0.98,0.01,-1.53,0.67,-0.61,0.0,left-right
0.08,0.98,0.01,-1.77,0.67,-0.61,0.0,left-right
0.08,0.98,0.01,-2.14,0.92,-0.55,0.0,left-right
0.08,0.98,0.01,-2.26,0.98,-0.49,0.0,left-right
0.08,0.98,0.01,-2.01,0.85,-0.55,0.0,left-right
0.08,0.98,0.01,-1.95,0.92,-0.49,0.0,left-right
0.08,0.98,0.01,-1.83,0.85,-0.61,0.0,left-right
0.08,0.98,0.01,-1.71,0.67,-0.55,0.0,left-right
0.08,0.98,0.01,-1.83,0.61,-0.61,0.0,left-right
0.08,0.98,0.01,-1.65,0.79,-0.61,0.0,left-right
0.08,0.98,0.01,-1.16,0.73,-0.67,0.0,left-right
0.08,0.98,0.01,-0.43,0.61,-0.73,0.0,left-right
0.08,0.98,0.02,-0.12,0.61,-0.67,0.0,left-right
0.08,0.98,0.02,-0.37,0.67,-0.61,0.0,left-right
0.08,0.98,0.01,-0.85,0.61,-0.67,0.0,left-right
0.08,0.98,0.01,-1.53,0.67,-0.61,0.0,left-right
0.08,0.98,0.01,-1.71,0.79,-0.61,0.0,left-right
0.08,0.98,0.01,-1.83,0.79,-0.61,0.0,left-right
0.08,0.98,0.01,-2.08,0.79,-0.55,0.0,left-right
0.08,0.98,0.01,-2.08,0.98,-0.55,0.0,left-right
0.08,0.98,0.01,-1.77,0.79,-0.55,0.0,left-right
0.08,0.98,0.01,-1.77,0.85,-0.55,0.0,left-right
0.08,0.98,0.01,-1.53,0.67,-0.55,0.0,left-right
0.08,0.98,0.01,-1.4,0.79,-0.61,0.0,left-right
0.08,0.98,0.01,-1.34,0.61,-0.61,0.0,left-right
0.08,0.98,0.01,-1.34,0.73,-0.61,0.0,left-right
0.08,0.98,0.01,-1.22,0.85,-0.61,0.0,left-right
0.08,0.98,0.01,-1.34,0.79,-0.61,0.0,left-right
0.08,0.98,0.01,-0.92,0.67,-0.55,0.0,left-right
0.08,0.98,0.01,-0.92,0.73,-0.61,0.0,left-right
0.08,0.98,0.02,-1.04,0.79,-0.61,0.0,left-right
0.08,0.98,0.01,-1.4,0.73,-0.55,0.0,left-right
0.08,0.98,0.01,-1.34,0.79,-0.55,0.0,left-right
0.08,0.98,0.01,-1.77,0.85,-0.61,0.0,left-right
0.08,0.98,0.01,-1.59,0.73,-0.49,0.0,left-right
0.08,0.98,0.01,-1.53,0.79,-0.61,0.0,left-right
0.08,0.98,0.01,-1.46,0.92,-0.55,0.0,left-right
0.08,0.99,0.01,-1.71,0.79,-0.43,0.0,left-right
0.08,0.97,0.01,-2.26,1.04,-0.49,0.0,left-right
0.08,0.99,0.01,-2.26,0.98,-0.49,0.0,left-right
0.08,0.98,0.02,-1.89,0.61,-0.37,0.0,left-right
0.08,0.97,0.01,-2.01,0.85,-0.67,0.0,left-right
0.08,0.99,0.01,-1.46,0.73,-0.61,0.0,left-right
0.08,0.98,0.01,-1.34,0.61,-0.61,0.0,left-right
0.08,0.97,0.01,-1.28,0.79,-0.73,0.0,left-right
0.08,0.98,0.01,-1.1,0.49,-0.55,0.0,left-right
0.08,0.98,0.01,-0.85,0.55,-0.55,0.0,left-right
0.08,0.97,0.01,-0.85,0.92,-0.92,0.0,left-right
0.08,0.98,0.02,-0.85,0.55,-0.55,0.0,left-right
0.08,0.98,0.01,-1.1,0.73,-0.61,0.0,left-right
0.08,0.98,0.01,-1.89,0.98,-0.55,0.0,left-right
0.08,0.98,0.01,-2.08,0.61,-0.49,0.0,left-right
0.08,0.97,0.01,-1.53,0.85,-0.49,0.0,left-right
